"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.06396134096060216","3399 /  13   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.06284134118239056","202 /  2   "
"Transient receptor potential cation channel subfamily A member 1","TRPA1","O75762","CHEMBL6007","Voltage-gated ion channel","0.06159956119456085","202 /  10   "
"72 kDa type IV collagenase","MMP2","P08253","CHEMBL333","Protease","0.06142037876372765","1770 /  2   "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.061029584452558995","3044 /  7   "
"Cytochrome c oxidase subunit NDUFA4","COXFA4","O00483","CHEMBL2317","Oxidoreductase","0.06098827303321099","2 /  1   "
"Dihydrofolate reductase","DHFR","P00374","CHEMBL202","Oxidoreductase","0.060703006434920354","639 /  11   "
"Melatonin receptor type 1A","MTNR1A","P48039","CHEMBL1945","Family A G protein-coupled receptor","0.06039390438340045","839 /  41   "
"Mitogen-activated protein kinase 9","MAPK9","P45984","CHEMBL4179","Kinase","0.06035547576200276","268 /  3   "
"Indoleamine 2,3-dioxygenase 1","IDO1","P14902","CHEMBL4685","Oxidoreductase","0.06004092059837102","1160 /  9   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.05876562088586571","749 /  95   "
"Xanthine dehydrogenase/oxidase","XDH","P47989","CHEMBL1929","Oxidoreductase","0.058741469591003785","208 /  5   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.058739084933289644","1325 /  13   "
"Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820","CHEMBL4361","Other cytosolic protein","0.05680157292717671","775 /  8   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.056333685530833996","174 /  20   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.05527904509034338","522 /  62   "
"Neuronal acetylcholine receptor subunit alpha-7","CHRNA7","P36544","CHEMBL2492","Ligand-gated ion channel","0.05433549470636237","599 /  19   "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.053877586411573836","381 /  11   "
"Voltage-gated inwardly rectifying potassium channel KCNH2","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.05370964595803346","2256 /  48   "
"M-phase inducer phosphatase 2","CDC25B","P30305","CHEMBL4804","Phosphatase","0.052932636646921605","93 /  4   "
"GTPase KRas","KRAS","P01116","CHEMBL2189121","Hydrolase","0.05261607348523346","203 /  7   "
"Apelin receptor","APLNR","P35414","CHEMBL1628481","Family A G protein-coupled receptor","0.05242911241411387","1751 /  1   "
"Poly [ADP-ribose] polymerase tankyrase-1","TNKS","O95271","CHEMBL6164","Transferase","0.05225926291536372","360 /  1   "
"Myeloperoxidase","MPO","P05164","CHEMBL2439","Oxidoreductase","0.051942966055239334","398 /  4   "
"Melatonin receptor type 1B","MTNR1B","P49286","CHEMBL1946","Family A G protein-coupled receptor","0.05132180881581225","782 /  30   "
"Transient receptor potential cation channel subfamily M member 8","TRPM8","Q7Z2W7","CHEMBL1075319","Voltage-gated ion channel","0.050675079802367656","252 /  26   "
"D(3) dopamine receptor","DRD3","P35462","CHEMBL234","Family A G protein-coupled receptor","0.050385329358794084","1557 /  130   "
"D(4) dopamine receptor","DRD4","P21917","CHEMBL219","Family A G protein-coupled receptor","0.050385329358794084","1338 /  29   "
"Proto-oncogene tyrosine-protein kinase Src","SRC","P12931","CHEMBL267","Kinase","0.05014946507923312","881 /  4   "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.05014329728162848","1069 /  14   "
"Histone deacetylase 8","HDAC8","Q9BY41","CHEMBL3192","Eraser","0.0496378281315022","1179 /  9   "
"Histamine H1 receptor","HRH1","P35367","CHEMBL231","Family A G protein-coupled receptor","0.049186140102457164","401 /  11   "
"5-hydroxytryptamine receptor 1D","HTR1D","P28221","CHEMBL1983","Family A G protein-coupled receptor","0.049186140102457164","452 /  3   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.049186140102457164","2718 /  142   "
"Lysine-specific demethylase 4D","KDM4D","Q6B0I6","CHEMBL6138","Eraser","0.04840410887562587","19 /  45   "
"5-hydroxytryptamine receptor 5A","HTR5A","P47898","CHEMBL3426","Family A G protein-coupled receptor","0.048307270790581454","146 /  4   "
"Beta-1 adrenergic receptor","ADRB1","P08588","CHEMBL213","Family A G protein-coupled receptor","0.04824632553272002","208 /  9   "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.04764546955826905","2299 /  13   "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.04764546955826905","2953 /  11   "
"Mast/stem cell growth factor receptor Kit","KIT","P10721","CHEMBL1936","Kinase","0.047558542804903334","651 /  1   "
"Heat shock cognate 71 kDa protein","HSPA8","P11142","CHEMBL1275223","Other cytosolic protein","0.04738247730581249","11 /  1   "
"Hepatocyte growth factor receptor","MET","P08581","CHEMBL3717","Kinase","0.04687429637218389","1066 /  11   "
"Cytochrome P450 1A2","CYP1A2","P05177","CHEMBL3356","Cytochrome P450","0.04645967244728543","46 /  5   "
"Amine oxidase [copper-containing] 3","AOC3","Q16853","CHEMBL3437","Oxidoreductase","0.046078499186516644","302 /  18   "
