"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.8196039679487648","152 /  52   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.8196039679487648","693 /  99   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.8196039679487648","168 /  43   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.8037929700901174","1590 /  289   "
"Neuronal acetylcholine receptor subunit alpha-7","CHRNA7","P36544","CHEMBL2492","Ligand-gated ion channel","0.762753401386213","169 /  1   "
"Oxysterols receptor LXR-alpha","NR1H3","Q13133","CHEMBL2808","Nuclear receptor","0.6739058739141545","168 /  31   "
"Transient receptor potential cation channel subfamily V member 1","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.48693261847582575","499 /  5   "
"GABA-A receptor; alpha-1/beta-2/gamma-2","N/A","P14867&P47870&P18507","CHEMBL2095172","Ligand-gated ion channel","0.4803502614023945","74 /  12   "
"M-phase inducer phosphatase 1","CDC25A","P30304","CHEMBL3775","Phosphatase","0.4681877800774173","48 /  18   "
"Cocaine esterase","CES2","O00748","CHEMBL3180","Hydrolase","0.454867845354123","100 /  19   "
"Sex hormone-binding globulin","SHBG","P04278","CHEMBL3305","Secreted protein","0.4488774080060998","62 /  47   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.4431362092680251","202 /  6   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.4431362092680251","198 /  5   "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.4418561743354798","45 /  5   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.4418561743354798","711 /  4   "
