"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.4418561743354798","231 /  1   "
"Alpha-crystallin B chain","CRYAB","P02511","CHEMBL3621022","Unclassified protein","0.435634222145936","7 /  7   "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.4290382285481983","1313 /  14   "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","0.4233630149735398","86 /  2   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.3876963827626915","512 /  2   "
"Steroid 17-alpha-hydroxylase/17,20 lyase","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.34422746266445836","372 /  52   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.3420483970210102","123 /  59   "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.2907406026471061","2391 /  8   "
"Vitamin D3 receptor","VDR","P11473","CHEMBL1977","Nuclear receptor","0.2878729699905803","64 /  99   "
"Oxysterols receptor LXR-beta","NR1H2","P55055","CHEMBL4093","Nuclear receptor","0.28453261649397715","183 /  12   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.2829462499806585","58 /  22   "
"Transient receptor potential cation channel subfamily A member 1","TRPA1","O75762","CHEMBL6007","Voltage-gated ion channel","0.2790746011719998","439 /  5   "
"DNA topoisomerase 2-alpha","TOP2A","P11388","CHEMBL1806","Isomerase","0.27310950117854155","23 /  2   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.23543016319188717","1124 /  35   "
"Glutamate NMDA receptor; GRIN1/GRIN2B","N/A","Q05586&Q13224","CHEMBL1907603","Ligand-gated ion channel","0.22785460151843923","590 /  34   "
"UDP-glucuronosyltransferase 2B7","UGT2B7","P16662","CHEMBL4370","Transferase","0.21135649028404413","31 /  8   "
"Fatty-acid amide hydrolase 1","FAAH","O00519","CHEMBL2243","Hydrolase","0.20532287902929688","295 /  27   "
"Delta(24)-sterol reductase","DHCR24","Q15392","CHEMBL2331059","Oxidoreductase","0.20426430659540745","4 /  10   "
"Glutamate NMDA receptor; GRIN1/GRIN2A","N/A","Q05586&Q12879","CHEMBL1907604","Ligand-gated ion channel","0.2033072341254058","97 /  32   "
"Prothrombin","F2","P00734","CHEMBL204","Protease","0.20246808458244328","216 /  5   "
"Lanosterol synthase","LSS","P48449","CHEMBL3593","Isomerase","0.19965580009277628","7 /  10   "
"Cholesterol 24-hydroxylase","CYP46A1","Q9Y6A2","CHEMBL4523510","Oxidoreductase","0.1983111262148119","29 /  3   "
"Peroxisome proliferator-activated receptor alpha","PPARA","Q07869","CHEMBL239","Nuclear receptor","0.19534955413573407","23 /  13   "
"Peroxisome proliferator-activated receptor delta","PPARD","Q03181","CHEMBL3979","Nuclear receptor","0.19534955413573407","32 /  9   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.19534955413573407","197 /  17   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.19012652908230857","325 /  4   "
"Alpha-synuclein","SNCA","P37840","CHEMBL6152","Unclassified protein","0.18853374696422373","159 /  4   "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.18601587167258887","427 /  26   "
"Coagulation factor X","F10","P00742","CHEMBL244","Protease","0.18387949866906034","400 /  12   "
"Integrin alpha-V/beta-3","N/A","P05106&P06756","CHEMBL1907598","Membrane receptor","0.16954321171136671","2 /  1   "
"Fatty acid-binding protein 5","FABP5","Q01469","CHEMBL3674","Fatty acid binding protein family","0.1654836999678038","13 /  1   "
"Fatty acid-binding protein, adipocyte","FABP4","P15090","CHEMBL2083","Fatty acid binding protein family","0.1654836999678038","16 /  3   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.1647323137449037","988 /  31   "
"Sterol regulatory element-binding protein 1","SREBF1","P36956","CHEMBL4630818","Unclassified protein","0.16424497214721262","5 /  1   "
"M-phase inducer phosphatase 2","CDC25B","P30305","CHEMBL4804","Phosphatase","0.16183482791732182","79 /  11   "
"72 kDa type IV collagenase","MMP2","P08253","CHEMBL333","Protease","0.1584418708562142","83 /  1   "
"Alpha-crystallin A chain","CRYAA","P02489","CHEMBL4296283","Unclassified protein","0.14817207017147346","1 /  1   "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Transferase","0.14508989896493388","64 /  2   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.13328469468554432","240 /  14   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.13020202747549325","1232 /  9   "
"AMPK alpha2/beta1/gamma1","N/A","P54646&P54619&Q9Y478","CHEMBL3038455","Kinase","0.12862568174482644","3 /  11   "
"Sterol regulatory element-binding protein 2","SREBF2","Q12772","CHEMBL1795166","Transcription factor","0.12660376230692957","12 /  1   "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.12451812512523291","92 /  7   "
"Glycine receptor subunit alpha-1","GLRA1","P23415","CHEMBL5845","Ligand-gated ion channel","0.12133876486913886","4 /  1   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.12085647258144094","674 /  3   "
"ATP-citrate synthase","ACLY","P53396","CHEMBL3720","Transferase","0.12009073044445913","19 /  5   "
"Short transient receptor potential channel 6","TRPC6","Q9Y210","CHEMBL2417347","Voltage-gated ion channel","0.11866239504894768","6 /  2   "
"Oxysterol-binding protein 2","OSBP2","Q969R2","CHEMBL5465343","Unclassified protein","0.11824466535855221","8 /  8   "
"Oxysterol-binding protein 1","OSBP","P22059","CHEMBL4523203","Unclassified protein","0.11824466535855221","12 /  12   "
"NPC1-like intracellular cholesterol transporter 1","NPC1L1","Q9UHC9","CHEMBL2027","Other membrane protein","0.1177047397064697","13 /  12   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.1156998759915656","279 /  3   "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.1143285015121044","249 /  28   "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","0.11370636991910683","40 /  3   "
"Protein farnesyltransferase","N/A","P49354&P49356","CHEMBL2094108","Transferase","0.1109789140513464","392 /  10   "
"Squalene monooxygenase","SQLE","Q14534","CHEMBL3592","Oxidoreductase","0.11012736853289681","4 /  3   "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Isomerase","0.10722024504508229","255 /  10   "
"Stearoyl-CoA desaturase","SCD","O00767","CHEMBL5555","Enzyme","0.10359770792490587","148 /  1   "
"Sphingosine kinase 2","SPHK2","Q9NRA0","CHEMBL3023","Enzyme","0.10225092927964616","8 /  3   "
"Hypoxia-inducible factor 1-alpha","HIF1A","Q16665","CHEMBL4261","Transcription factor","0.10136233645490618","72 /  2   "
"Tumor necrosis factor","TNF","P01375","CHEMBL1825","Secreted protein","0.09940051778426708","232 /  7   "
"Fatty acid-binding protein, heart","FABP3","P05413","CHEMBL3344","Fatty acid binding protein family","0.09890064748264848","3 /  4   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.0977809809029126","396 /  4   "
"Corticosteroid-binding globulin","SERPINA6","P08185","CHEMBL2421","Secreted protein","0.09724506848296686","22 /  20   "
"3-oxo-5-alpha-steroid 4-dehydrogenase 2","SRD5A2","P31213","CHEMBL1856","Oxidoreductase","0.09578103283144729","131 /  25   "
"Indoleamine 2,3-dioxygenase 1","IDO1","P14902","CHEMBL4685","Oxidoreductase","0.0955431655389164","1097 /  1   "
"Retinoic acid receptor RXR-alpha/Vitamin D3 receptor","N/A","P11473&P19793","CHEMBL3885632","Nuclear receptor","0.0927567054785632","1 /  1   "
"Vitamin D-binding protein","GC","P02774","CHEMBL2259","Secreted protein","0.0927567054785632","1 /  1   "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.0915570309870928","659 /  42   "
"Aldo-keto reductase family 1 member C3","AKR1C3","P42330","CHEMBL4681","Oxidoreductase","0.09125353649456183","28 /  3   "
"11-beta-hydroxysteroid dehydrogenase type 2","HSD11B2","P80365","CHEMBL3746","Oxidoreductase","0.08971772188449015","33 /  10   "
"Mitogen-activated protein kinase 14","MAPK14","Q16539","CHEMBL260","Kinase","0.08809771176217125","1583 /  1   "
"Tyrosine-protein phosphatase non-receptor type 2","PTPN2","P17706","CHEMBL3807","Phosphatase","0.08572917303867217","11 /  7   "
"Nuclear receptor ROR-alpha","RORA","P35398","CHEMBL5868","Nuclear receptor","0.08329035040249647","24 /  4   "
"3',5'-cyclic-AMP phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.08281992574192049","264 /  6   "
"Potassium-transporting ATPase alpha chain 2","ATP12A","P54707","CHEMBL2933","Primary active transporter","0.08174868490984313","3 /  6   "
"Glucose-6-phosphate 1-dehydrogenase","G6PD","P11413","CHEMBL5347","Oxidoreductase","0.08048557287281397","21 /  2   "
"Prostaglandin E2 receptor EP4 subtype","PTGER4","P35408","CHEMBL1836","Family A G protein-coupled receptor","0.07064926487358679","35 /  9   "
"Liver carboxylesterase 1","CES1","P23141","CHEMBL2265","Hydrolase","0.06807895034779007","186 /  8   "
"Alpha-2B adrenergic receptor","ADRA2B","P18089","CHEMBL1942","Family A G protein-coupled receptor","0.06737949728853128","59 /  1   "
"DNA topoisomerase 1","TOP1","P11387","CHEMBL1781","Isomerase","0.06681038532625468","3 /  2   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.06673029787081154","1324 /  5   "
"Polyunsaturated fatty acid lipoxygenase ALOX12","ALOX12","P18054","CHEMBL3687","Enzyme","0.0645289041055883","2 /  2   "
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.063570609593678","99 /  2   "
"Thromboxane-A synthase","TBXAS1","P24557","CHEMBL1835","Cytochrome P450","0.06302177625544567","87 /  1   "
"Ras guanyl-releasing protein 3","RASGRP3","Q8IV61","CHEMBL3638","Other cytosolic protein","0.060414738295946645","1 /  2   "
