"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Ferritin heavy chain","FTH1","P02794","CHEMBL6066220","Oxidoreductase","1.0","1 /  1   "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.9406163905500196","43 /  5   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.2355084207930778","1183 /  135   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.17927766584440968","285 /  80   "
"Oxysterols receptor LXR-beta","NR1H2","P55055","CHEMBL4093","Nuclear receptor","0.16506348893542308","43 /  10   "
"NACHT, LRR and PYD domains-containing protein 3","NLRP3","Q96P20","CHEMBL1741208","Unclassified protein","0.15497063246305018","77 /  17   "
"Oxysterols receptor LXR-alpha","NR1H3","Q13133","CHEMBL2808","Nuclear receptor","0.13902787621858181","37 /  26   "
"Lanosterol synthase","LSS","P48449","CHEMBL3593","Isomerase","0.10613805304142655","3 /  9   "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.10287045171619556","162 /  22   "
"Hypoxia-inducible factor 1-alpha","HIF1A","Q16665","CHEMBL4261","Transcription factor","0.09844868809695136","52 /  3   "
"Prothrombin","F2","P00734","CHEMBL204","Protease","0.0920432420926484","67 /  7   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.08965705425122923","358 /  35   "
"Steroid 17-alpha-hydroxylase/17,20 lyase","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.08892729755151259","238 /  17   "
"Signal transducer and activator of transcription 1-alpha/beta","STAT1","P42224","CHEMBL6101","Transcription factor","0.08852569331302484","3 /  3   "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","0.07912194968297197","13 /  1   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.06932299914969442","180 /  3   "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.06737949728853128","1204 /  3   "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.06737949728853128","804 /  5   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.06593279489291486","680 /  16   "
"Hepatic sodium/bile acid cotransporter","SLC10A1","Q14973","CHEMBL5287","Electrochemical transporter","0.06386841376921996","1 /  2   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.061758475220284895","57 /  63   "
"M-phase inducer phosphatase 1","CDC25A","P30304","CHEMBL3775","Phosphatase","0.0567349752789237","32 /  25   "
"Serine protease 1","PRSS1","P07477","CHEMBL209","Protease","0.05471617873041148","1 /  6   "
"DNA topoisomerase 2-alpha","TOP2A","P11388","CHEMBL1806","Isomerase","0.053697824388256654","13 /  1   "
"Thromboxane A2 receptor","TBXA2R","P21731","CHEMBL2069","Family A G protein-coupled receptor","0.05315859383432937","9 /  8   "
"Chymotrypsin-C","CTRC","Q99895","CHEMBL2386","Protease","0.05082728874186987","0 /  3   "
"GABA-A receptor; alpha-1/beta-2/gamma-2","N/A","P14867&P47870&P18507","CHEMBL2095172","Ligand-gated ion channel","0.04584696686889139","54 /  4   "
"Neuronal acetylcholine receptor subunit alpha-7","CHRNA7","P36544","CHEMBL2492","Ligand-gated ion channel","0.04535463570040665","78 /  2   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.04449078178096181","40 /  1   "
"Cocaine esterase","CES2","O00748","CHEMBL3180","Hydrolase","0.044404713631470256","59 /  17   "
"Dynamin-1","DNM1","Q05193","CHEMBL4958","Hydrolase","0.04383492080585836","8 /  1   "
"Vitamin D3 receptor","VDR","P11473","CHEMBL1977","Nuclear receptor","0.04290088999305746","7 /  43   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.04261172421652955","337 /  8   "
"Glutamate NMDA receptor; GRIN1/GRIN2B","N/A","Q05586&Q13224","CHEMBL1907603","Ligand-gated ion channel","0.03906028788596055","159 /  34   "
"Voltage-gated inwardly rectifying potassium channel KCNH2","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.03821524929626454","250 /  1   "
"Coagulation factor X","F10","P00742","CHEMBL244","Protease","0.037045099826964197","83 /  20   "
"Fatty-acid amide hydrolase 1","FAAH","O00519","CHEMBL2243","Hydrolase","0.03697962553144543","71 /  15   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.03682622894576051","116 /  35   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.03682622894576051","130 /  29   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.0360931740134145","48 /  3   "
"Transcription factor p65","RELA","Q04206","CHEMBL5533","Transcription factor","0.035683539049534085","12 /  3   "
"UDP-glucuronosyltransferase 2B7","UGT2B7","P16662","CHEMBL4370","Transferase","0.035004603592683814","26 /  6   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.03426420331328903","140 /  1   "
"Muscarinic acetylcholine receptor M1","CHRM1","P11229","CHEMBL216","Family A G protein-coupled receptor","0.03422244762325973","104 /  14   "
"17-beta-hydroxysteroid dehydrogenase type 3","HSD17B3","P37058","CHEMBL4234","Oxidoreductase","0.03316987361453314","50 /  2   "
"Short transient receptor potential channel 6","TRPC6","Q9Y210","CHEMBL2417347","Voltage-gated ion channel","0.032051223510578465","2 /  4   "
"Liver carboxylesterase 1","CES1","P23141","CHEMBL2265","Hydrolase","0.03180989269120024","88 /  5   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.030283942914839428","24 /  23   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.030240949836480485","47 /  3   "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Isomerase","0.02967507985015739","55 /  8   "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.029181316563289168","64 /  3   "
"11-beta-hydroxysteroid dehydrogenase type 2","HSD11B2","P80365","CHEMBL3746","Oxidoreductase","0.02894453144757112","21 /  7   "
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.02850481696831806","103 /  12   "
"Glutamate NMDA receptor; GRIN1/GRIN2A","N/A","Q05586&Q12879","CHEMBL1907604","Ligand-gated ion channel","0.028051399021712674","47 /  32   "
"Mitogen-activated protein kinase kinase kinase 5","MAP3K5","Q99683","CHEMBL5285","Kinase","0.027852691158204157","68 /  3   "
"Gamma-secretase","N/A","Q96BI3&Q9NZ42&Q8WW43&P49768&Q92542&P49810","CHEMBL2094135","Protease","0.026093275478887453","162 /  2   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.025902369503907337","36 /  1   "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.0251993215388666","332 /  38   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.024890510280128467","253 /  5   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.02471502729888952","79 /  1   "
"Cholesteryl ester transfer protein","CETP","P11597","CHEMBL3572","Other ion channel","0.02441296074914409","10 /  2   "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.02316889934479732","21 /  3   "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.02310243934172295","105 /  21   "
"Endothelial PAS domain-containing protein 1","EPAS1","Q99814","CHEMBL1744522","Transcription factor","0.022969253881787204","39 /  1   "
"Platelet-activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.022804598370594495","68 /  7   "
"Transient receptor potential cation channel subfamily M member 2","TRPM2","O94759","CHEMBL1250402","Voltage-gated ion channel","0.022462616170134245","3 /  1   "
"Delta(24)-sterol reductase","DHCR24","Q15392","CHEMBL2331059","Oxidoreductase","0.021616960307389157","2 /  10   "
"Sex hormone-binding globulin","SHBG","P04278","CHEMBL3305","Secreted protein","0.020335093649848226","61 /  23   "
"D(3) dopamine receptor","DRD3","P35462","CHEMBL234","Family A G protein-coupled receptor","0.020080509304083435","19 /  1   "
"Sigma non-opioid intracellular receptor 1","SIGMAR1","Q99720","CHEMBL287","Membrane receptor","0.01897669807299459","18 /  4   "
"Tyrosyl-DNA phosphodiesterase 1","TDP1","Q9NUW8","CHEMBL1075138","Phosphodiesterase","0.017936054161671974","8 /  6   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.017805796270014346","66 /  6   "
"Substance-K receptor","TACR2","P21452","CHEMBL2327","Family A G protein-coupled receptor","0.017752278694912332","22 /  1   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.017175927410627498","654 /  8   "
"Protein farnesyltransferase","N/A","P49354&P49356","CHEMBL2094108","Transferase","0.016860115541060115","143 /  5   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.016848659796582465","557 /  10   "
"Muscarinic acetylcholine receptor M3","CHRM3","P20309","CHEMBL245","Family A G protein-coupled receptor","0.016462302165174587","94 /  7   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.016262592566495204","70 /  6   "
"Transient receptor potential cation channel subfamily V member 1","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.015911476766442258","175 /  2   "
"Peroxisome proliferator-activated receptor alpha","PPARA","Q07869","CHEMBL239","Nuclear receptor","0.01568070141877594","9 /  8   "
"Corticosteroid-binding globulin","SERPINA6","P08185","CHEMBL2421","Secreted protein","0.01553976761663785","22 /  3   "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.01543126848014606","340 /  13   "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.015085560886176928","28 /  6   "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.015085560886176928","39 /  2   "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.015085560886176928","31 /  24   "
"Methionine aminopeptidase 2","METAP2","P50579","CHEMBL3922","Protease","0.014748074077548419","115 /  7   "
"Toll-like receptor 4","TLR4","O00206","CHEMBL5255","Toll-like and Il-1 receptors","0.014413161102658584","17 /  1   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.014375802472416516","53 /  15   "
"Muscarinic acetylcholine receptor M5","CHRM5","P08912","CHEMBL2035","Family A G protein-coupled receptor","0.013978969465457325","61 /  2   "
"Muscarinic acetylcholine receptor M4","CHRM4","P08173","CHEMBL1821","Family A G protein-coupled receptor","0.013978969465457325","62 /  7   "
"Peroxisome proliferator-activated receptor delta","PPARD","Q03181","CHEMBL3979","Nuclear receptor","0.013870134176028216","1 /  6   "
"5-hydroxytryptamine receptor 2A","HTR2A","P28223","CHEMBL224","Family A G protein-coupled receptor","0.013766025532515498","49 /  1   "
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.013349688588830594","38 /  1   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.013349688588830594","55 /  1   "
"Lysosomal acid glucosylceramidase","GBA1","P04062","CHEMBL2179","Enzyme","0.01334650494227951","32 /  8   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.013303176693076603","525 /  8   "
"Nuclear receptor subfamily 4 group A member 2","NR4A2","P43354","CHEMBL5002","Nuclear receptor","0.01326739278100323","5 /  1   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.013192456585494481","27 /  2   "
"Histamine H3 receptor","HRH3","Q9Y5N1","CHEMBL264","Family A G protein-coupled receptor","0.01310059552564966","55 /  1   "
"Cathepsin K","CTSK","P43235","CHEMBL268","Protease","0.012441970990368296","173 /  3   "
