"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Acetyl-CoA acetyltransferase, mitochondrial","ACAT1","P24752","CHEMBL2616","Transferase","0.07771987884575075","1 /  0   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.07771987884575075","5 /  0   "
"Palmitoleoyl-protein carboxylesterase NOTUM","NOTUM","Q6P988","CHEMBL3714531","Hydrolase","0.07737228957533357","14 /  0   "
"Tryptophan 2,3-dioxygenase","TDO2","P48775","CHEMBL2140","Oxidoreductase","0.07737228957533357","1 /  0   "
"Indoleamine 2,3-dioxygenase 1","IDO1","P14902","CHEMBL4685","Oxidoreductase","0.07737228957533357","11 /  0   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.06976153946093666","21 /  0   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.06851069700970952","1 /  0   "
"Ribosyldihydronicotinamide dehydrogenase [quinone]","NQO2","P16083","CHEMBL3959","Oxidoreductase","0.06199528463342844","5 /  0   "
"Macrophage migration inhibitory factor","MIF","P14174","CHEMBL2085","Enzyme","0.05977284480483641","12 /  0   "
"Transient receptor potential cation channel subfamily A member 1","TRPA1","O75762","CHEMBL6007","Voltage-gated ion channel","0.058783390296478964","18 /  1   "
"Gamma-aminobutyric acid receptor subunit alpha-6/beta-3","N/A","P28472&Q16445","CHEMBL3885578","Ligand-gated ion channel","0.05453915816038177","1 /  0   "
"Gamma-aminobutyric acid receptor subunit beta-3","GABRB3","P28472","CHEMBL1847","Ligand-gated ion channel","0.05453915816038177","1 /  0   "
"Gamma-aminobutyric acid receptor subunit rho-1","GABRR1","P24046","CHEMBL3561","Ligand-gated ion channel","0.05453915816038177","1 /  0   "
"GABA-A receptor; alpha-6/beta-3/gamma-2","N/A","P18507&P28472&Q16445","CHEMBL2095190","Ligand-gated ion channel","0.05453915816038177","1 /  0   "
"GABA-A receptor alpha-1/beta-3","N/A","P14867&P28472","CHEMBL4106151","Ligand-gated ion channel","0.05453915816038177","1 /  0   "
"GABA-A receptor; alpha-1/beta-3/gamma-2","N/A","P14867&P18507&P28472","CHEMBL2094121","Ligand-gated ion channel","0.05453915816038177","4 /  0   "
"GABA A receptor alpha-1/beta-1/gamma-2","N/A","P14867&P18507&P18505","CHEMBL2111392","Ligand-gated ion channel","0.05453915816038177","1 /  0   "
"Gamma-aminobutyric acid receptor subunit alpha-1/ beta-1","N/A","P14867&P18505","CHEMBL3885570","Ligand-gated ion channel","0.05453915816038177","1 /  0   "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.053299824418017824","5 /  0   "
"Nuclear factor erythroid 2-related factor 2","NFE2L2","Q16236","CHEMBL1075094","Transcription factor","0.0497394884013871","24 /  0   "
"DNA repair nuclease/redox regulator APEX1","APEX1","P27695","CHEMBL5619","Enzyme","0.0497394884013871","1 /  0   "
"Epoxide hydrolase 1","EPHX1","P07099","CHEMBL1968","Protease","0.04905497991700475","1 /  0   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.04905497991700475","13 /  0   "
"Intermediate conductance calcium-activated potassium channel protein 4","KCNN4","O15554","CHEMBL4305","Voltage-gated ion channel","0.04905497991700475","11 /  0   "
"Fructose-1,6-bisphosphatase 1","FBP1","P09467","CHEMBL3975","Phosphatase","0.046620821097337686","19 /  0   "
"GABA-A receptor; alpha-3/beta-3/gamma-2","N/A","P18507&P28472&P34903","CHEMBL2094120","Ligand-gated ion channel","0.04576448514355245","6 /  0   "
"GABA-A receptor; alpha-5/beta-3/gamma-2","N/A","P18507&P28472&P31644","CHEMBL2094122","Ligand-gated ion channel","0.04576448514355245","6 /  0   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.04576448514355245","2 /  0   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.045685099984779536","7 /  1   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.045132082035163695","8 /  0   "
"NAD(P)H dehydrogenase [quinone] 1","NQO1","P15559","CHEMBL3623","Oxidoreductase","0.04308369051109881","1 /  0   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.04228944301116889","83 /  0   "
"D(4) dopamine receptor","DRD4","P21917","CHEMBL219","Family A G protein-coupled receptor","0.04170296163688164","15 /  0   "
"P2Y purinoceptor 6","P2RY6","Q15077","CHEMBL4714","Family A G protein-coupled receptor","0.041316304425990505","1 /  0   "
"3',5'-cyclic-AMP phosphodiesterase 4B","PDE4B","Q07343","CHEMBL275","Phosphodiesterase","0.04017681347250205","2 /  0   "
"Adenosine receptor A2a","ADORA2A","P29274","CHEMBL251","Family A G protein-coupled receptor","0.03961063711625368","9 /  1   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.03879337169219994","5 /  1   "
"Cyclin-C/Cyclin-dependent kinase 19","N/A","Q9BWU1&P24863","CHEMBL3883323","Kinase","0.038523873102460006","1 /  0   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.038523873102460006","1 /  0   "
"CDK8/Cyclin C","N/A","P49336&P24863","CHEMBL3038474","Kinase","0.038523873102460006","1 /  0   "
"Cyclin-dependent kinase 8","CDK8","P49336","CHEMBL5719","Kinase","0.038523873102460006","1 /  0   "
"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A","PDE10A","Q9Y233","CHEMBL4409","Phosphodiesterase","0.03834429337439238","19 /  0   "
"Histone acetyltransferase KAT5","KAT5","Q92993","CHEMBL5750","Writer","0.03834429337439238","1 /  0   "
"P2X purinoceptor 7","P2RX7","Q99572","CHEMBL4805","Ligand-gated ion channel","0.037810364354116326","4 /  0   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.03745838738244109","2 /  0   "
"Adenosine receptor A1","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.03745101361095742","7 /  1   "
"Transcription factor p65","RELA","Q04206","CHEMBL5533","Transcription factor","0.036763858148937935","2 /  0   "
"Corticotropin-releasing factor receptor 1","CRHR1","P34998","CHEMBL1800","Family B G protein-coupled receptor","0.03625110647452081","4 /  0   "
"3',5'-cyclic-AMP phosphodiesterase 4A","PDE4A","P27815","CHEMBL254","Phosphodiesterase","0.036081723703102954","3 /  0   "
"Muscleblind-like protein 1","MBNL1","Q9NR56","CHEMBL1293317","Unclassified protein","0.03557813446806799","1 /  0   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.03541178060956786","7 /  0   "
"Neuronal acetylcholine receptor; alpha3/beta4","N/A","P30926&P32297","CHEMBL1907594","Ligand-gated ion channel","0.035081317980335536","8 /  0   "
"Myeloperoxidase","MPO","P05164","CHEMBL2439","Oxidoreductase","0.035081317980335536","2 /  0   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.034917202998815525","6 /  0   "
"Potassium voltage-gated channel subfamily A member 3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.034429286340725444","1 /  0   "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.034268113320328475","5 /  0   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.034268113320328475","9 /  0   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.034268113320328475","4 /  0   "
"Mitochondrial 2-oxodicarboxylate carrier","SLC25A21","Q9BQT8","CHEMBL4680040","Unclassified protein","0.03410766814377602","1 /  0   "
"Cathepsin B","CTSB","P07858","CHEMBL4072","Protease","0.03410766814377602","3 /  0   "
"Procathepsin L","CTSL","P07711","CHEMBL3837","Protease","0.03410766814377602","2 /  0   "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Transferase","0.03410766814377602","1 /  0   "
"N-acylethanolamine-hydrolyzing acid amidase","NAAA","Q02083","CHEMBL4349","Hydrolase","0.03363066935056508","2 /  0   "
"Proto-oncogene tyrosine-protein kinase receptor Ret","RET","P07949","CHEMBL2041","Kinase","0.03347310527445921","3 /  0   "
"Cytochrome P450 11B2, mitochondrial","CYP11B2","P19099","CHEMBL2722","Cytochrome P450","0.03331625395637584","40 /  0   "
"Cytochrome P450 11B1, mitochondrial","CYP11B1","P15538","CHEMBL1908","Cytochrome P450","0.03331625395637584","31 /  0   "
"Sulfide:quinone oxidoreductase, mitochondrial","SQOR","Q9Y6N5","CHEMBL4523512","Oxidoreductase","0.03316011241009056","1 /  0   "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.03316011241009056","4 /  0   "
"Metabotropic glutamate receptor 5","GRM5","P41594","CHEMBL3227","Family C G protein-coupled receptor","0.03316011241009056","5 /  0   "
"Thioredoxin","TXN","P10599","CHEMBL2010624","Oxidoreductase","0.03316011241009056","1 /  0   "
"Leucine-rich repeat serine/threonine-protein kinase 2","LRRK2","Q5S007","CHEMBL1075104","Kinase","0.03300467765966085","4 /  0   "
"Voltage-gated inwardly rectifying potassium channel KCNH2","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.03300467765966085","3 /  0   "
"Rap guanine nucleotide exchange factor 4","RAPGEF4","Q8WZA2","CHEMBL2029198","Unclassified protein","0.03254258457801537","3 /  0   "
"Prolyl hydroxylase EGLN2","EGLN2","Q96KS0","CHEMBL3028","Oxidoreductase","0.03238994745672966","11 /  0   "
"Cytochrome P450 2B6","CYP2B6","P20813","CHEMBL4729","Cytochrome P450","0.03238994745672966","1 /  0   "
