"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Peroxisome proliferator-activated receptor alpha","PPARA","Q07869","CHEMBL239","Nuclear receptor","0.3440044041465317","2 /  1   "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.23309516726759416","16 /  0   "
"Sex hormone-binding globulin","SHBG","P04278","CHEMBL3305","Secreted protein","0.18578911125459657","1 /  0   "
"cGMP-dependent 3',5'-cyclic phosphodiesterase","PDE2A","O00408","CHEMBL2652","Phosphodiesterase","0.17361606301635413","4 /  0   "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","0.14504350846782366","4 /  0   "
"Receptor-interacting serine/threonine-protein kinase 1","RIPK1","Q13546","CHEMBL5464","Kinase","0.1402891792393185","1 /  0   "
"Monoglyceride lipase","MGLL","Q99685","CHEMBL4191","Hydrolase","0.13796130443551108","2 /  0   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.1377450763977616","17 /  1   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.12626772220561583","25 /  0   "
"Apelin receptor","APLNR","P35414","CHEMBL1628481","Family A G protein-coupled receptor","0.11200461601058162","4 /  0   "
"Cytochrome P450 1A2","CYP1A2","P05177","CHEMBL3356","Cytochrome P450","0.1063349947260101","4 /  0   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.09657764080441646","5 /  1   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.08981859338815569","2 /  1   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.08790396376056385","15 /  1   "
"Aryl hydrocarbon receptor","AHR","P35869","CHEMBL3201","Transcription factor","0.08497809839310487","13 /  0   "
"Cytochrome P450 2A6","CYP2A6","P11509","CHEMBL5282","Cytochrome P450","0.08460102561319492","22 /  0   "
"Hypoxanthine-guanine phosphoribosyltransferase","HPRT1","P00492","CHEMBL2360","Transferase","0.08422547200368276","2 /  0   "
"C-C chemokine receptor type 2","CCR2","P41597","CHEMBL4015","Family A G protein-coupled receptor","0.07983559594147281","2 /  0   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.07983559594147281","4 /  0   "
"Alpha-2C adrenergic receptor","ADRA2C","P18825","CHEMBL1916","Family A G protein-coupled receptor","0.07983559594147281","2 /  0   "
"Alpha-2A adrenergic receptor","ADRA2A","P08913","CHEMBL1867","Family A G protein-coupled receptor","0.07983559594147281","3 /  0   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.07983559594147281","14 /  0   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.07771987884575075","17 /  0   "
"5-hydroxytryptamine receptor 6","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.07771987884575075","11 /  0   "
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.07771987884575075","1 /  0   "
